Asia/Riyadh,Open,High,Low,Close,Volume
2026-06-05T03:00:00+03:00,1.16121,1.16129,1.16118,1.16126,89100000
2026-06-05T03:01:00+03:00,1.16127,1.16129,1.16114,1.16114,89550000
2026-06-05T03:02:00+03:00,1.16115,1.16128,1.16115,1.16126,55800000
2026-06-05T03:03:00+03:00,1.16126,1.16128,1.16121,1.16122,33300000
2026-06-05T03:04:00+03:00,1.16123,1.16137,1.1612,1.1613,89550000
2026-06-05T03:05:00+03:00,1.16131,1.16139,1.1613,1.16134,32850000
2026-06-05T03:06:00+03:00,1.16135,1.16135,1.16126,1.16126,40050000
2026-06-05T03:07:00+03:00,1.16127,1.1613,1.16122,1.1613,60750000
2026-06-05T03:08:00+03:00,1.16131,1.16134,1.16131,1.16134,18900000
2026-06-05T03:09:00+03:00,1.16133,1.16134,1.16132,1.16133,20700000
2026-06-05T03:10:00+03:00,1.16133,1.1614,1.16133,1.16136,27450000
2026-06-05T03:11:00+03:00,1.16135,1.16135,1.16125,1.16127,36450000
2026-06-05T03:12:00+03:00,1.16128,1.16132,1.16123,1.16132,33750000
2026-06-05T03:13:00+03:00,1.16131,1.16132,1.16119,1.16123,38250000
2026-06-05T03:14:00+03:00,1.16119,1.16119,1.16108,1.16114,67500000
2026-06-05T03:15:00+03:00,1.16116,1.16129,1.16114,1.16123,93600000
2026-06-05T03:16:00+03:00,1.16122,1.16122,1.16114,1.16118,76950000
2026-06-05T03:17:00+03:00,1.16117,1.16119,1.16111,1.16113,51300000
2026-06-05T03:18:00+03:00,1.16114,1.16119,1.16112,1.16117,50400000
2026-06-05T03:19:00+03:00,1.16117,1.16121,1.16115,1.16119,20250000
2026-06-05T03:20:00+03:00,1.1612,1.16122,1.16112,1.16117,50400000
2026-06-05T03:21:00+03:00,1.16116,1.16116,1.16109,1.16113,38250000
2026-06-05T03:22:00+03:00,1.16113,1.1612,1.16113,1.16117,56250000
2026-06-05T03:23:00+03:00,1.16116,1.16127,1.16116,1.16126,41400000
2026-06-05T03:24:00+03:00,1.16124,1.16125,1.16118,1.16122,48600000
2026-06-05T03:25:00+03:00,1.16123,1.16124,1.16118,1.16119,61650000
2026-06-05T03:26:00+03:00,1.1612,1.1613,1.16119,1.16125,49500000
2026-06-05T03:27:00+03:00,1.16126,1.16129,1.16124,1.16126,18000000
2026-06-05T03:28:00+03:00,1.16127,1.16132,1.16127,1.16132,39600000
2026-06-05T03:29:00+03:00,1.16132,1.16132,1.16123,1.16128,40050000
2026-06-05T03:30:00+03:00,1.16129,1.16133,1.16126,1.16132,67500000
2026-06-05T03:31:00+03:00,1.16131,1.16132,1.16123,1.16124,60300000
2026-06-05T03:32:00+03:00,1.16123,1.16125,1.16122,1.16122,10800000
2026-06-05T03:33:00+03:00,1.16123,1.16129,1.16119,1.16125,54900000
2026-06-05T03:34:00+03:00,1.16125,1.16128,1.16124,1.16124,17550000
2026-06-05T03:35:00+03:00,1.16123,1.16126,1.16123,1.16124,23400000
2026-06-05T03:36:00+03:00,1.16125,1.16126,1.1612,1.16122,43200000
2026-06-05T03:37:00+03:00,1.16122,1.16123,1.16118,1.16122,19350000
2026-06-05T03:38:00+03:00,1.16121,1.16123,1.16119,1.16123,73800000
2026-06-05T03:39:00+03:00,1.16122,1.16123,1.16119,1.16123,45450000
2026-06-05T03:40:00+03:00,1.16124,1.16129,1.1612,1.16128,58500000
2026-06-05T03:41:00+03:00,1.16129,1.16133,1.16125,1.16127,32850000
2026-06-05T03:42:00+03:00,1.16125,1.16127,1.16125,1.16126,13500000
2026-06-05T03:43:00+03:00,1.16125,1.16125,1.16121,1.16122,15750000
2026-06-05T03:44:00+03:00,1.16124,1.16124,1.16114,1.16114,40950000
2026-06-05T03:45:00+03:00,1.16115,1.16115,1.16109,1.16113,55350000
2026-06-05T03:46:00+03:00,1.16113,1.16123,1.16112,1.16119,43200000
2026-06-05T03:47:00+03:00,1.16119,1.16122,1.16118,1.16118,27900000
2026-06-05T03:48:00+03:00,1.16116,1.16119,1.16113,1.16116,33300000
2026-06-05T03:49:00+03:00,1.16113,1.16116,1.16113,1.16115,9000000
2026-06-05T03:50:00+03:00,1.16115,1.16118,1.16112,1.16117,45000000
2026-06-05T03:51:00+03:00,1.16117,1.16119,1.16114,1.16116,34200000
2026-06-05T03:52:00+03:00,1.16116,1.16119,1.16112,1.16119,46800000
2026-06-05T03:53:00+03:00,1.1612,1.16124,1.16116,1.16116,27000000
2026-06-05T03:54:00+03:00,1.16119,1.16123,1.16119,1.16122,23400000
2026-06-05T03:55:00+03:00,1.1612,1.16123,1.16115,1.16123,48150000
2026-06-05T03:56:00+03:00,1.16123,1.1613,1.16122,1.16129,24300000
2026-06-05T03:57:00+03:00,1.16129,1.16134,1.16129,1.16133,29250000
2026-06-05T03:58:00+03:00,1.1613,1.16132,1.16128,1.16132,19800000
2026-06-05T03:59:00+03:00,1.16131,1.16133,1.16126,1.16127,27900000
2026-06-05T04:00:00+03:00,1.16128,1.1613,1.16123,1.16123,93150000
2026-06-05T04:01:00+03:00,1.16124,1.16124,1.16115,1.16118,83700000
2026-06-05T04:02:00+03:00,1.16116,1.16123,1.16116,1.16122,38700000
2026-06-05T04:03:00+03:00,1.16122,1.16122,1.16113,1.16118,36450000
2026-06-05T04:04:00+03:00,1.16116,1.16124,1.16115,1.16122,55350000
2026-06-05T04:05:00+03:00,1.16124,1.16133,1.16122,1.16133,56250000
2026-06-05T04:06:00+03:00,1.16131,1.16136,1.16129,1.16136,56700000
2026-06-05T04:07:00+03:00,1.16137,1.16139,1.16124,1.16124,37800000
2026-06-05T04:08:00+03:00,1.16124,1.16129,1.16122,1.16126,54450000
