signal_idx,entry_time,date,strategy,direction,reason,level,spread_moves,body_moves,recent_moves,entry,stop,target,exit_price,exit_time,outcome,pnl_moves,hold_minutes,ambiguous_same_candle
31,2026-06-02 03:31:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 28.5 moves from recent low + green candle,1.16317,2.0,10.5,27.0,1.16347,1.16329,1.16372,1.16329,2026-06-02 03:41:00+03:00,LOSS,-18.0,10,False
54,2026-06-02 03:54:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 23.0 moves from recent high + red candle,1.16329,2.0,10.0,13.0,1.16305,1.16323,1.1628,1.16323,2026-06-02 04:00:00+03:00,LOSS,-18.0,6,False
60,2026-06-02 04:00:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 31.0 moves from recent low + green candle,1.16293,4.0,9.5,29.5,1.16326,1.16308,1.16351,1.16351,2026-06-02 04:12:00+03:00,WIN,25.0,12,False
72,2026-06-02 04:12:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 30.5 moves from recent low + green candle,1.16324,3.0,13.0,16.0,1.16356,1.16338,1.16381,1.16338,2026-06-02 04:20:00+03:00,LOSS,-18.0,8,False
99,2026-06-02 04:39:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 25.0 moves from recent high + red candle,1.16353,2.0,9.0,15.0,1.16327,1.16345,1.16302,1.16345,2026-06-02 04:43:00+03:00,LOSS,-18.0,4,False
104,2026-06-02 04:44:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 23.0 moves from recent high + red candle,1.16353,4.0,8.5,2.5,1.16328,1.16346,1.16303,1.16303,2026-06-02 04:47:00+03:00,WIN,25.0,3,False
114,2026-06-02 04:54:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 30.0 moves from recent low + green candle,1.16285,3.0,11.0,18.0,1.16317,1.16299,1.16342,1.16318,2026-06-02 05:14:00+03:00,WIN,1.0,20,False
120,2026-06-02 05:00:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 26.0 moves from recent low + green candle,1.16292,3.0,11.0,8.0,1.1632,1.16302,1.16345,1.16302,2026-06-02 05:08:00+03:00,LOSS,-18.0,8,False
319,2026-06-02 08:19:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 24.5 moves from recent high + red candle,1.16398,3.0,23.5,18.0,1.16372,1.1639,1.16347,1.16385,2026-06-02 08:39:00+03:00,LOSS,-13.0,20,False
366,2026-06-02 09:06:00+03:00,2026-06-02,Fast Impulse Breakout,BUY,Break above 20m high + 29.0 moves impulse,1.16388,6.0,23.5,29.0,1.16412,1.16394,1.16437,1.16437,2026-06-02 09:11:00+03:00,WIN,25.0,5,False
371,2026-06-02 09:11:00+03:00,2026-06-02,Fast Impulse Breakout,BUY,Break above 20m high + 42.0 moves impulse,1.16423,3.0,33.0,42.0,1.16454,1.16436,1.16479,1.16479,2026-06-02 09:25:00+03:00,WIN,25.0,14,False
377,2026-06-02 09:17:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 66.0 moves from recent low + green candle,1.16397,2.0,11.5,3.5,1.16464,1.16446,1.16489,1.16489,2026-06-02 09:25:00+03:00,WIN,25.0,8,False
384,2026-06-02 09:24:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 25.5 moves from recent low + green candle,1.16447,4.0,8.0,14.0,1.16475,1.16457,1.165,1.165,2026-06-02 09:25:00+03:00,WIN,25.0,1,False
393,2026-06-02 09:33:00+03:00,2026-06-02,Fast Impulse Breakout,BUY,Break above 20m high + 29.5 moves impulse,1.16506,3.0,24.0,29.5,1.16522,1.16504,1.16547,1.16504,2026-06-02 09:35:00+03:00,LOSS,-18.0,2,False
398,2026-06-02 09:38:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 29.5 moves from recent low + green candle,1.16486,4.0,8.5,6.0,1.16517,1.16499,1.16542,1.16499,2026-06-02 09:42:00+03:00,LOSS,-18.0,4,False
404,2026-06-02 09:44:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 36.5 moves from recent high + red candle,1.16519,5.0,23.0,27.5,1.1648,1.16498,1.16455,1.16498,2026-06-02 09:47:00+03:00,LOSS,-18.0,3,False
422,2026-06-02 10:02:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 26.5 moves from recent high + red candle,1.16508,2.0,10.5,12.0,1.16481,1.16499,1.16456,1.16499,2026-06-02 10:04:00+03:00,LOSS,-18.0,2,False
430,2026-06-02 10:10:00+03:00,2026-06-02,Fast Reversal,SELL,Drop 29.5 moves from recent high + red candle,1.16501,1.0,12.5,14.5,1.16471,1.16489,1.16446,1.16463,2026-06-02 10:30:00+03:00,WIN,8.0,20,False
441,2026-06-02 10:21:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 23.5 moves from recent low + green candle,1.16449,3.0,8.5,7.0,1.16474,1.16456,1.16499,1.16456,2026-06-02 10:25:00+03:00,LOSS,-18.0,4,False
451,2026-06-02 10:31:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 35.0 moves from recent low + green candle,1.16449,4.0,24.5,31.0,1.16486,1.16468,1.16511,1.16468,2026-06-02 10:33:00+03:00,LOSS,-18.0,2,False
461,2026-06-02 10:41:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 24.5 moves from recent low + green candle,1.16465,2.0,9.0,15.5,1.1649,1.16472,1.16515,1.16472,2026-06-02 10:46:00+03:00,LOSS,-18.0,5,False
469,2026-06-02 10:49:00+03:00,2026-06-02,Fast Reversal,BUY,Rise 23.5 moves from recent low + green candle,1.1647,5.0,11.0,10.0,1.16496,1.16478,1.16521,1.16478,2026-06-02 10:51:00+03:00,LOSS,-18.0,2,False
