signal_idx,entry_time,date,strategy,direction,reason,level,spread_moves,body_moves,recent_moves,entry,stop,target,exit_price,exit_time,outcome,pnl_moves,hold_minutes,ambiguous_same_candle
107,2026-06-02 04:47:00+03:00,2026-06-02,Fast Impulse Breakout,SELL,Break below 20m low + 43.0 moves impulse,1.16303,2.0,14.5,43.0,1.16288,1.16306,1.16258,1.16306,2026-06-02 04:53:00+03:00,LOSS,-18.0,6,False
371,2026-06-02 09:11:00+03:00,2026-06-02,Fast Impulse Breakout,BUY,Break above 20m high + 42.0 moves impulse,1.16423,3.0,33.0,42.0,1.16454,1.16436,1.16484,1.16484,2026-06-02 09:25:00+03:00,WIN,30.0,14,False
385,2026-06-02 09:25:00+03:00,2026-06-02,Fast Impulse Breakout,BUY,Break above 20m high + 36.5 moves impulse,1.16475,4.0,24.0,36.5,1.16498,1.1648,1.16528,1.1648,2026-06-02 09:44:00+03:00,LOSS,-18.0,19,False
620,2026-06-02 13:20:00+03:00,2026-06-02,Fast Impulse Breakout,SELL,Break below 20m low + 35.0 moves impulse,1.16406,4.0,14.0,35.0,1.16393,1.16411,1.16363,1.16411,2026-06-02 13:25:00+03:00,LOSS,-18.0,5,False
755,2026-06-02 15:35:00+03:00,2026-06-02,Fast Impulse Breakout,BUY,Break above 20m high + 41.5 moves impulse,1.1654,3.0,13.0,41.5,1.16549,1.16531,1.16579,1.16531,2026-06-02 15:37:00+03:00,LOSS,-18.0,2,False
788,2026-06-02 16:08:00+03:00,2026-06-02,Fast Impulse Breakout,SELL,Break below 20m low + 37.0 moves impulse,1.16493,1.0,45.0,37.0,1.16476,1.16494,1.16446,1.16494,2026-06-02 16:09:00+03:00,LOSS,-18.0,1,False
861,2026-06-02 17:21:00+03:00,2026-06-02,Fast Impulse Breakout,SELL,Break below 20m low + 55.0 moves impulse,1.16378,1.0,16.0,55.0,1.16372,1.1639,1.16342,1.1639,2026-06-02 17:25:00+03:00,LOSS,-18.0,4,False
877,2026-06-02 17:37:00+03:00,2026-06-02,Fast Impulse Breakout,BUY,Break above 20m high + 39.0 moves impulse,1.16451,6.0,12.0,39.0,1.16465,1.16447,1.16495,1.16447,2026-06-02 17:39:00+03:00,LOSS,-18.0,2,False
928,2026-06-02 18:28:00+03:00,2026-06-02,Fast Impulse Breakout,SELL,Break below 20m low + 69.5 moves impulse,1.1638,1.0,16.0,69.5,1.16368,1.16386,1.16338,1.16386,2026-06-02 18:31:00+03:00,LOSS,-18.0,3,False
1100,2026-06-02 21:20:00+03:00,2026-06-02,Fast Impulse Breakout,SELL,Break below 20m low + 47.0 moves impulse,1.16154,3.0,24.0,47.0,1.16136,1.16154,1.16106,1.16154,2026-06-02 21:22:00+03:00,LOSS,-18.0,2,False
1376,2026-06-03 04:57:00+03:00,2026-06-03,Fast Impulse Breakout,SELL,Break below 20m low + 35.0 moves impulse,1.16292,4.0,18.5,35.0,1.16275,1.16293,1.16245,1.16293,2026-06-03 04:59:00+03:00,LOSS,-18.0,2,False
1628,2026-06-03 09:09:00+03:00,2026-06-03,Fast Impulse Breakout,SELL,Break below 20m low + 39.0 moves impulse,1.16186,3.0,24.5,39.0,1.16178,1.16196,1.16148,1.16148,2026-06-03 09:11:00+03:00,WIN,30.0,2,False
1642,2026-06-03 09:23:00+03:00,2026-06-03,Fast Impulse Breakout,SELL,Break below 20m low + 42.5 moves impulse,1.16145,4.0,14.5,42.5,1.1613,1.16148,1.161,1.16148,2026-06-03 09:26:00+03:00,LOSS,-18.0,3,False
1689,2026-06-03 10:10:00+03:00,2026-06-03,Fast Impulse Breakout,BUY,Break above 20m high + 41.0 moves impulse,1.16174,5.0,19.5,41.0,1.16188,1.1617,1.16218,1.1617,2026-06-03 10:23:00+03:00,LOSS,-18.0,13,False
1713,2026-06-03 10:34:00+03:00,2026-06-03,Fast Impulse Breakout,BUY,Break above 20m high + 64.5 moves impulse,1.16199,3.0,38.5,64.5,1.16204,1.16186,1.16234,1.16234,2026-06-03 10:35:00+03:00,WIN,30.0,1,False
1800,2026-06-03 12:01:00+03:00,2026-06-03,Fast Impulse Breakout,BUY,Break above 20m high + 38.5 moves impulse,1.16106,3.0,32.5,38.5,1.16131,1.16113,1.16161,1.16113,2026-06-03 12:02:00+03:00,LOSS,-18.0,1,False
1864,2026-06-03 13:05:00+03:00,2026-06-03,Fast Impulse Breakout,BUY,Break above 20m high + 84.5 moves impulse,1.16163,4.0,59.0,84.5,1.16224,1.16206,1.16254,1.16206,2026-06-03 13:06:00+03:00,LOSS,-18.0,1,False
1976,2026-06-03 14:57:00+03:00,2026-06-03,Fast Impulse Breakout,SELL,Break below 20m low + 54.0 moves impulse,1.16178,1.0,15.0,54.0,1.16164,1.16182,1.16134,1.16182,2026-06-03 14:58:00+03:00,LOSS,-18.0,1,False
2012,2026-06-03 15:33:00+03:00,2026-06-03,Fast Impulse Breakout,SELL,Break below 20m low + 62.0 moves impulse,1.16037,3.0,26.0,62.0,1.16017,1.16035,1.15987,1.15987,2026-06-03 15:38:00+03:00,WIN,30.0,5,False
2067,2026-06-03 16:28:00+03:00,2026-06-03,Fast Impulse Breakout,BUY,Break above 20m high + 38.0 moves impulse,1.16037,2.0,23.5,38.0,1.16045,1.16027,1.16075,1.16027,2026-06-03 16:31:00+03:00,LOSS,-18.0,3,False
2112,2026-06-03 17:13:00+03:00,2026-06-03,Fast Impulse Breakout,BUY,Break above 20m high + 74.5 moves impulse,1.16068,5.0,27.0,74.5,1.16083,1.16065,1.16113,1.16065,2026-06-03 17:14:00+03:00,LOSS,-18.0,1,False
2139,2026-06-03 17:40:00+03:00,2026-06-03,Fast Impulse Breakout,SELL,Break below 20m low + 40.5 moves impulse,1.15983,2.0,35.5,40.5,1.15966,1.15984,1.15936,1.15984,2026-06-03 17:42:00+03:00,LOSS,-18.0,2,False
2152,2026-06-03 17:53:00+03:00,2026-06-03,Fast Impulse Breakout,BUY,Break above 20m high + 123.5 moves impulse,1.16026,3.0,51.5,123.5,1.1608,1.16062,1.1611,1.16062,2026-06-03 17:54:00+03:00,LOSS,-18.0,1,False
2276,2026-06-03 19:57:00+03:00,2026-06-03,Fast Impulse Breakout,BUY,Break above 20m high + 36.5 moves impulse,1.15999,2.0,16.5,36.5,1.16014,1.15996,1.16044,1.15996,2026-06-03 20:00:00+03:00,LOSS,-18.0,3,False
2534,2026-06-04 03:17:00+03:00,2026-06-04,Fast Impulse Breakout,BUY,Break above 20m high + 39.0 moves impulse,1.16112,4.0,20.0,39.0,1.16119,1.16101,1.16149,1.16101,2026-06-04 03:21:00+03:00,LOSS,-18.0,4,False
2912,2026-06-04 09:35:00+03:00,2026-06-04,Fast Impulse Breakout,BUY,Break above 20m high + 40.0 moves impulse,1.16129,4.0,15.0,40.0,1.16144,1.16126,1.16174,1.16126,2026-06-04 09:44:00+03:00,LOSS,-18.0,9,False
2958,2026-06-04 10:21:00+03:00,2026-06-04,Fast Impulse Breakout,SELL,Break below 20m low + 46.5 moves impulse,1.16073,1.0,14.5,46.5,1.1606,1.16078,1.1603,1.16078,2026-06-04 10:22:00+03:00,LOSS,-18.0,1,False
2976,2026-06-04 10:39:00+03:00,2026-06-04,Fast Impulse Breakout,SELL,Break below 20m low + 51.0 moves impulse,1.16019,2.0,15.0,51.0,1.16007,1.16025,1.15977,1.16025,2026-06-04 10:49:00+03:00,LOSS,-18.0,10,False
3027,2026-06-04 11:30:00+03:00,2026-06-04,Fast Impulse Breakout,BUY,Break above 20m high + 58.0 moves impulse,1.1611,3.0,35.5,58.0,1.16142,1.16124,1.16172,1.16124,2026-06-04 11:31:00+03:00,LOSS,-18.0,1,False
3060,2026-06-04 12:03:00+03:00,2026-06-04,Fast Impulse Breakout,BUY,Break above 20m high + 61.0 moves impulse,1.1616,4.0,36.5,61.0,1.16192,1.16174,1.16222,1.16174,2026-06-04 12:04:00+03:00,LOSS,-18.0,1,False
3121,2026-06-04 13:04:00+03:00,2026-06-04,Fast Impulse Breakout,BUY,Break above 20m high + 40.0 moves impulse,1.16284,5.0,22.0,40.0,1.16299,1.16281,1.16329,1.16281,2026-06-04 13:06:00+03:00,LOSS,-18.0,2,False
3221,2026-06-04 14:44:00+03:00,2026-06-04,Fast Impulse Breakout,BUY,Break above 20m high + 37.5 moves impulse,1.16435,4.0,30.0,37.5,1.16441,1.16423,1.16471,1.16423,2026-06-04 14:48:00+03:00,LOSS,-18.0,4,False
3248,2026-06-04 15:11:00+03:00,2026-06-04,Fast Impulse Breakout,SELL,Break below 20m low + 64.0 moves impulse,1.16386,5.0,50.5,64.0,1.16353,1.16371,1.16323,1.16371,2026-06-04 15:12:00+03:00,LOSS,-18.0,1,False
3296,2026-06-04 15:59:00+03:00,2026-06-04,Fast Impulse Breakout,SELL,Break below 20m low + 57.5 moves impulse,1.16378,3.0,17.5,57.5,1.16369,1.16387,1.16339,1.16387,2026-06-04 16:04:00+03:00,LOSS,-18.0,5,False
3430,2026-06-04 18:13:00+03:00,2026-06-04,Fast Impulse Breakout,SELL,Break below 20m low + 35.0 moves impulse,1.16244,2.0,24.0,35.0,1.16237,1.16255,1.16207,1.16255,2026-06-04 18:16:00+03:00,LOSS,-18.0,3,False
4228,2026-06-05 10:33:00+03:00,2026-06-05,Fast Impulse Breakout,BUY,Break above 20m high + 38.0 moves impulse,1.16309,2.0,24.5,38.0,1.16333,1.16315,1.16363,1.16363,2026-06-05 10:38:00+03:00,WIN,30.0,5,False
4260,2026-06-05 11:05:00+03:00,2026-06-05,Fast Impulse Breakout,BUY,Break above 20m high + 36.0 moves impulse,1.16363,1.0,13.5,36.0,1.16371,1.16353,1.16401,1.1638,2026-06-05 11:25:00+03:00,WIN,9.0,20,False
4328,2026-06-05 12:13:00+03:00,2026-06-05,Fast Impulse Breakout,BUY,Break above 20m high + 39.5 moves impulse,1.16402,3.0,34.0,39.5,1.16436,1.16418,1.16466,1.16418,2026-06-05 12:14:00+03:00,LOSS,-18.0,1,False
